GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
giret-bff,com.giret.bff.service.impl,DashboardServiceImpl,245,0,12,0,67,0,17,0,11,0
giret-bff,com.giret.bff.service.impl,ResourceServiceImpl,0,114,0,0,0,35,0,10,0,10
giret-bff,com.giret.bff.service.impl,DocumentServiceImpl,0,17,0,0,0,5,0,3,0,3
giret-bff,com.giret.bff.service.impl,HistoricalResourceServiceImpl,0,20,0,0,0,6,0,4,0,4
giret-bff,com.giret.bff.service.impl,LoanServicesImpl,0,142,0,0,0,43,0,6,0,6
giret-bff,com.giret.bff.controller,HistoricalResourceController,0,23,0,0,0,6,0,4,0,4
giret-bff,com.giret.bff.controller,DocumentController,0,19,0,0,0,5,0,3,0,3
giret-bff,com.giret.bff.controller,DashboardController,0,21,0,0,0,6,0,4,0,4
giret-bff,com.giret.bff.controller,LoanController,0,29,0,0,0,7,0,5,0,5
giret-bff,com.giret.bff.controller,ResourceController,0,58,0,0,0,12,0,10,0,10
giret-bff,com.giret.bff,ApiGiretBFF,8,0,0,0,3,0,2,0,2,0
